DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
0.52,0,0,0,0,0,0,0,3.18623
0.54,0,0,0,0,0,0,0,8.49196
0.56,0,0,0,0,0,0,0,13.8024
0.58,0,0,0,0,0,0,0,19.1127
0.6,0,0,0,0,0,0,0,24.4231
0.62,0,0,0,0,0,0,0,29.7335
0.64,0,0,0,0,0,0,0,33.9827
0.66,0,0,0,0,0,0,0,38.231
0.68,0,0,0,0,0,0,0,44.6016
0.7,0,0,0,0,0,0,-83.895,50.9741
0.72,0,0,0,0,0,0,-83.9686,57.3465
0.74,0,0,0,0,0,0,-83.9686,61.0661
0.76,0,0,0,0,0,0,-83.9686,64.7834
0.78,0,0,0,0,0,0,-83.9686,67.9701
0.8,0,0,0,0,0,0,-83.9686,71.1563
0.82,0,0,0,0,0,0,-83.9686,76.4648
0.84,0,0,0,0,0,0,-83.9686,81.7752
0.86,0,0,0,0,0,0,-83.9686,83.9021
0.88,0,0,0,0,0,0,-83.9686,86.0263
0.9,0,0,0,0,0,0,-83.9686,88.1505
0.92,0,0,0,0,0,0,-83.9686,89.744
0.94,0,0,0,0,0,0,-83.9686,91.3372
0.96,0,0,0,0,0,0,-83.9686,87.6245
0.98,0,0,0,0,0,0,-84.9355,83.9073
1,0,0,0,0,0,0,-84.9364,80.19
1.02,0,0,0,0,0,0,-84.9364,78.0644
1.04,0,0,0,0,0,0,-84.9364,75.9403
1.06,0,0,0,0,0,0,-84.9364,74.3467
1.08,0,0,0,0,0,0,-84.9364,72.7536
1.1,0,0,0,0,0,0,-84.9364,68.5076
1.12,0,0,0,0,0,0,-84.9364,64.2593
1.14,0,0,0,0,0,0,-84.9364,60.011
1.16,0,0,0,0,0,0,-84.9364,62.1296
1.18,0,0,0,0,0,0,-84.9364,64.2537
1.2,0,0,0,0,0,0,-84.9364,65.3167
1.22,0,0,0,0,0,0,-84.9364,66.3788
1.24,0,0,0,0,0,0,-84.9364,67.4409
1.26,0,0,0,0,0,0,-85.6564,68.503
1.28,0,0,0,0,0,0,-85.657,67.9733
1.3,0,0,0,1903.54,0,0,-85.657,67.4423
1.32,0,0,0,2317.64,0,0,-85.657,66.9113
1.34,0,0,0,2318,0,0,-85.657,66.3802
1.36,0,0,0,2292.9,0,0,-85.657,65.8492
1.38,0,0,0,2292.88,0,0,-85.657,66.3793
1.4,0,0,0,2211.72,0,0,-85.657,66.9103
1.42,0,0,0,2211.65,0,0,-85.657,69.5637
