DEPT[M],GAM(NAT),CALIPER[,RES[OHM],RES(16N),DEN(CDL),RES(64N),SANG[DEG,SP[MV]
0.240001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.260001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.280001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.300001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.320001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.340001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.360001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.380001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.400001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.420001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.440001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.460001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.480001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.500001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.520001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.540001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.560001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.580001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.600001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.620001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.640001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.660001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.680001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.700001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.720001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.740001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.760001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.780001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.800001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.820001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.840001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.860001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.880001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.900001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.920001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.940001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.960001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
0.980001,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.02,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.04,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.06,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.08,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.1,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.12,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.14,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.16,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999
1.18,-99999,-99999,0,0,0,0,0,-182.815
1.2,-99999,-99999,0,0,0,0,0,-182.815
1.22,-99999,-99999,0,0,0,0,0,-182.815
1.24,-99999,-99999,0,0,0,0,0,-182.815
1.26,-99999,-99999,0,0,0,0,0,-182.815
1.28,-99999,-99999,0,0,0,0,0,-182.815
1.3,-99999,-99999,0,0,0,0,0,-182.815
1.32,-99999,-99999,0,0,0,0,0,-182.815
1.34,-99999,-99999,0,0,0,0,0,-182.815
1.36,-99999,-99999,0,0,0,0,0,-165.039
1.38,-99999,-99999,0,0,0,0,0,-164.989
1.4,-99999,-99999,0,0,0,0,0,-164.989
1.42,-99999,-99999,0,0,0,0,0,-164.989
1.44,-99999,-99999,0,0,0,0,0,-164.989
1.46,-99999,-99999,0,0,0,0,0,-164.989
1.48,-99999,-99999,0,0,0,0,0,-164.989
1.5,-99999,-99999,0,0,0,0,0,-164.989
1.52,-99999,-99999,0,0,0,0,0,-164.989
1.54,-99999,-99999,0,0,0,0,0,-130.002
1.56,-99999,-99999,0,0,0,0,0,-129.903
1.58,-99999,-99999,0,0,0,0,0,-129.903
1.6,-99999,-99999,0,0,0,0,0,-129.903
1.62,-99999,-99999,0,0,0,0,0,-129.903
1.64,-99999,-99999,0,0,0,0,0,-129.903
1.66,0,0,0,0,0,0,0,-129.903
1.68,0,0,0,0,0,0,0,-129.903
1.7,0,0,0,0,0,0,0,-129.903
1.72,0,0,0,0,0,0,0,-129.903
1.74,0,0,0,0,0,0,0,-129.903
1.76,0,0,0,0,0,0,0,-175.665
1.78,0,0,0,0,0,0,0,-175.794
1.8,7.91434,0,0,0,0,0,0,-175.794
1.82,15.8287,0,0,0,0,0,0,-175.794
1.84,23.743,0,0,0,0,0,0,-175.794
1.86,28.8916,0,0,0,0,0,0,-175.794
1.88,34.0402,0,0,0,0,0,0,-175.794
1.9,38.4974,0,0,0,0,0,0,-175.794
1.92,42.9546,0,0,0,0,0,0,-175.794
1.94,49.4861,0,0,0,0,0,0,-175.794
1.96,53.2518,0,0,0,0,2842.36,0,-175.794
1.98,57.0175,0,0,0,0,2850.31,0,-123.071
2,63.549,0,0,0,0,2850.36,0,-122.922
2.02,70.0805,0,0,0,0,2850.36,0,-122.922
2.04,73.8462,0,0,0,0,2850.31,0,-122.922
2.06,77.612,0,0,0,0,2850.31,0,-122.922
2.08,82.7606,0,0,0,0,2850.36,0,-122.922
2.1,79.9949,0,0,0,0,2850.31,0,-122.922
2.12,77.2291,0,0,0,0,2850.36,0,-122.922
2.14,74.4634,0,0,0,0,2850.36,0,-122.922
2.16,75.1548,0,0,0,0,2850.31,0,-122.922
2.18,77.9205,0,0,0,0,2850.36,0,-122.922
2.2,81.3777,0,0,0,0,2850.36,0,-122.922
2.22,80.6863,0,0,0,0,2850.31,0,-193.219
2.24,77.9205,0,0,0,0,2850.36,0,-193.418
2.26,80.6863,0,0,0,0,2850.36,0,-193.418
2.28,83.452,0,0,0,0,2850.31,0,-193.418
2.3,82.7606,0,0,0,0,2850.31,0,-193.418
2.32,82.0691,0,0,0,0,2850.36,0,-193.418
2.34,85.5263,0,0,0,0,2850.31,0,-193.418
2.36,88.9835,0,0,0,0,2850.31,0,-193.418
2.38,87.6006,0,0,0,0,2850.36,0,-193.418
2.4,86.2178,0,0,0,0,2850.36,0,-193.418
2.42,87.6006,0,0,0,0,2850.31,0,-193.418
2.44,88.9835,0,0,0,0,2850.31,0,-193.418
2.46,88.9835,0,0,0,0,2850.36,0,-200.217
2.48,86.9092,0,0,0,0,2850.36,0,-200.237
2.5,85.5263,0,0,0,0,2850.31,0,-200.237
2.52,88.2921,0,0,0,0.00748855,2850.36,0,-200.237
2.54,90.3664,0,0,0,0.0228843,2850.36,0,-200.237
2.56,89.6749,0,0,0,0.0464065,2850.31,0,-200.237
2.58,91.0578,0,0,2802.78,0.0780551,2850.31,0,-200.237
2.6,93.1321,0,0,2810.74,0.118124,2850.36,0,-200.237
2.62,93.8235,0,0,2810.69,0.16723,2850.36,0,-200.237
2.64,93.1321,0,0,2810.69,0.225733,2850.31,0,-200.237
2.66,88.9835,0,0,2810.74,0.293632,2850.31,0,-200.237
2.68,88.2921,0,0,2810.74,0.371666,2850.31,0,-200.237
2.7,93.1321,0,0,2810.69,0.460422,2850.31,0,-141.803
2.72,95.2064,0,0,2810.69,0.559797,2850.36,0,-141.639
2.74,97.2807,0,0,2810.74,0.669906,2850.36,0,-141.639
2.76,100.046,0,0,2810.74,0.790118,2850.31,0,-141.639
2.78,97.9721,0,3498.64,2810.69,0.921265,2850.36,0,-141.639
2.8,95.2064,0,3508.51,2810.69,1.06363,2850.36,0,-141.639
2.82,94.515,0,3508.51,2810.69,1.20276,2850.31,0,-141.639
2.84,94.515,0,3508.51,2810.74,1.33878,2850.31,0,-141.639
2.86,95.8978,0,3508.45,2810.69,1.47078,2850.36,0,-141.639
2.88,95.2064,0,3508.45,2810.69,1.5978,2850.36,1.78859,-141.639
2.9,92.4406,0,3508.51,2810.69,1.71918,2850.31,1.79364,-141.639
2.92,91.0578,0,3508.45,2810.69,1.83349,2850.31,1.79364,-141.639
2.94,86.9092,0,3508.56,2810.74,1.93946,2850.36,1.79364,-157.195
2.96,86.2177,0,3508.56,2810.69,2.03647,2850.36,1.79364,-157.239
2.98,88.292,0,3508.45,2810.69,2.12264,2850.31,1.79364,-157.239
3,84.8349,0,3508.51,2810.74,2.1968,2850.31,1.79364,-157.239
3.02,82.7606,0,3508.51,2810.74,2.25868,2850.36,1.74009,-157.239
3.04,80.6863,0,3508.45,2810.69,2.30754,2850.36,1.75952,-157.239
3.06,79.9948,0,3508.51,2810.69,2.34434,2850.31,1.75957,-157.239
3.08,84.1434,0,3508.51,2810.69,2.36701,2850.31,1.75957,-157.239
3.1,88.2921,0,3508.51,2810.69,2.3752,2850.36,1.75957,-157.239
3.12,90.3664,0,3508.51,2810.74,2.37479,2850.36,1.75957,-157.239
3.14,90.3664,0,3508.51,2810.69,2.3638,2850.31,1.75957,-157.239
3.16,88.9835,0,3508.45,2810.69,2.34325,2850.31,1.75957,-157.239
3.18,91.0578,0,3508.45,2810.69,2.31507,2850.36,1.75957,-213.554
3.2,95.2064,0,3508.51,2810.69,2.27947,2850.36,1.64718,-213.712
3.22,99.355,0,3508.51,2810.74,2.23724,2850.31,1.64687,-213.712
3.24,106.269,0,3508.51,2810.74,2.18941,2850.31,1.56379,-213.712
3.26,113.184,0,3508.51,2810.69,2.13724,2850.36,1.56356,-213.712
3.28,113.875,0,3508.45,2810.69,2.08229,2850.36,1.56356,-213.712
3.3,114.567,0,3508.45,2810.74,2.02501,2850.31,1.56356,-213.712
3.32,116.641,0,3508.56,2810.74,1.9665,2850.31,1.56356,-213.712
3.34,118.715,0,3508.45,2810.69,1.90767,2850.36,1.56356,-213.712
3.36,118.024,0,3508.45,2810.69,1.84895,2850.36,1.56356,-213.712
3.38,117.332,0,3508.51,2810.69,1.79253,2850.31,1.56356,-213.712
3.4,113.875,10.326,3508.51,2810.74,1.73848,2850.31,1.56356,-213.712
3.42,110.418,10.3241,3508.45,2810.74,1.68837,2850.36,1.74179,-223.62
3.44,109.035,10.3193,3508.45,2810.69,1.64474,2850.36,1.82899,-223.647
3.46,108.344,10.3207,3508.51,2810.69,1.60743,2850.31,1.82924,-223.647
3.48,104.195,10.3207,3508.51,2810.69,1.57568,2850.31,1.82924,-223.647
3.5,99.355,10.3193,3508.51,2810.69,1.54983,2850.36,1.82924,-223.647
3.52,94.515,10.3193,3508.51,2810.74,1.53006,2850.36,1.82924,-223.647
3.54,93.1321,10.3193,3508.51,2810.74,1.51665,2850.31,1.82924,-223.647
3.56,91.7492,10.3193,3508.51,2810.69,1.50939,2850.31,1.82924,-223.647
3.58,94.515,10.3193,3508.45,2810.69,1.5078,2850.31,1.82924,-223.647
3.6,97.2807,10.3174,3508.51,2810.69,1.51265,2850.31,1.82924,-223.647
3.62,97.2807,10.3174,3508.51,2810.69,1.5229,2850.4,1.82924,-223.647
3.64,97.9721,10.3188,3508.45,2810.74,1.53856,2850.41,1.72924,-185.392
3.66,100.046,10.3188,3508.45,2810.74,1.55839,2850.31,1.72895,-185.284
3.68,101.429,10.3179,3508.56,2810.69,1.58104,2850.31,1.69309,-185.284
3.7,105.578,10.3179,3508.56,2810.69,1.60623,2850.36,1.69299,-185.284
3.72,108.344,10.3183,3508.45,2810.69,1.63328,2850.36,1.69299,-185.284
3.74,111.109,10.3183,3508.45,2810.69,1.66034,2850.31,1.69299,-185.284
3.76,113.184,10.3198,3508.51,2810.69,1.6869,2850.31,1.69299,-185.284
3.78,111.801,10.3198,3508.51,2810.69,1.71195,2850.36,1.69299,-185.284
3.8,111.109,10.3193,3508.45,2810.69,1.73528,2850.36,1.69299,-185.284
3.82,111.801,10.3193,3508.45,2810.69,1.7569,2850.31,1.69299,-185.284
3.84,109.035,10.3203,3508.51,2810.74,1.776,2850.31,1.69299,-185.284
3.86,107.652,10.3183,3508.51,2810.74,1.79201,2850.36,1.69454,-185.284
3.88,105.578,10.3183,3508.51,2810.69,1.80498,2850.36,1.69455,-185.284
3.9,103.504,10.3169,3508.51,2810.69,1.81352,2850.31,1.70005,-164.219
3.92,102.121,10.3169,3508.51,2810.69,1.81796,2850.31,1.70007,-164.159
3.94,100.046,10.3188,3508.51,2810.69,1.81798,2850.36,1.70007,-164.159
3.96,95.2064,10.3188,3508.45,2810.74,1.81357,2850.36,1.70007,-164.159
3.98,91.0578,10.3183,3508.45,2810.74,1.80531,2850.31,1.70007,-164.159
4,86.9092,10.3183,3508.51,2810.69,1.79346,2850.31,1.70007,-164.159
4.02,82.0691,10.3236,3508.51,2810.69,1.77838,2850.36,1.70007,-164.159
4.04,77.2291,10.3236,3508.45,2810.69,1.7609,2850.36,1.70007,-164.159
4.06,76.5377,10.3246,3508.45,2810.69,1.74175,2850.31,1.70007,-164.159
4.08,79.3034,10.3255,3508.51,2810.74,1.72192,2850.31,1.70007,-164.159
4.1,82.0691,10.3255,3508.51,2810.74,1.7016,2850.36,1.71553,-164.159
