DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
24,2,10.3561,1.83074,59.3437,31.6238,81.7457,94.5149,"Very fine grained Sandstone , loose ",Raniganj,Sandstone (SST)
25.5,2,10.3689,2.34565,55.1437,32.7835,98.9245,73.0805,"Very fine grained Sandstone , ferruginous ",Raniganj,Sandstone (SST)
27,2,10.3799,2.31701,48.1592,29.1288,73.0515,81.3777,Claystone,Raniganj,Sandstone (SST)
28.5,2,10.3408,2.08735,7.41352,27.5045,62.4829,104.195,Claystone,Raniganj,Sandstone (SST)
31,2,13.6928,1.73802,-2.5627,62.8995,40.3063,158.127,"Very fine grained Sandstone mixed with clay and Shale,Micaceous",Raniganj,Sandstone (SST)
31.2,2,14.0563,1.83947,-1.64745,56.1686,44.9197,182.327,Medium grained Sandstone ,Raniganj,Sandstone (SST)
31.5,2,14.0585,1.98826,0.31785,60.2327,46.7003,165.733,Dark grey Shale ,Raniganj,dgs
31.69,2,14.047,2.00417,4.98051,63.4218,47.105,176.104,"Grey Shale , highly pulverized",Raniganj,Grey Shale
31.77,2,14.1689,2.02087,11.2503,66.4971,47.105,171.956,"Medium grained Sandstone, Whitish",Raniganj,Sandstone (SST)
31.81,2,14.1799,2.03492,13.676,66.0909,47.0041,165.733,Dark grey Shale ,Raniganj,dgs
31.87,2,14.2148,2.06263,15.8338,65.0471,47.0038,169.881,Grey Shale ,Raniganj,Grey Shale
32.17,2,14.2661,2.14734,14.6444,68.9342,46.5586,158.127,Shaly coal with bright band,Raniganj,coal
32.32,2,14.4145,2.14104,14.3236,65.7496,46.5384,163.658,Carbonaceous shale with Shale band,Raniganj,Carb shale
32.51,2,14.5501,2.09259,17.8016,57.9128,46.5384,193.39,Dark grey Shale ,Raniganj,dgs
32.56,2,14.5474,2.08646,18.488,56.2311,46.2956,194.082,Shaly Sandstone,Raniganj,Sandstone (SST)
32.71,2,14.6998,2.08725,20.8219,51.2957,46.2956,191.316,Dark Grey Shale,Raniganj,dgs
32.76,2,14.7214,2.09046,21.6456,51.5838,46.2956,186.476,Shaly Sandstone,Raniganj,Sandstone (SST)
32.91,2,14.861,2.09767,22.2405,55.7027,46.3158,174.721,"Dark grey Shale, silty ",Raniganj,dgs
32.99,2,14.9396,2.10149,22.927,56.1102,46.3158,158.127,Carbonaceous shale ,Raniganj,Carb shale
34,2,15.039,2.2609,24.7575,64.2311,45.9719,189.241,"Grey Shale , clayey , silty ,micaceous",Raniganj,Grey Shale
34.4,2,14.982,2.21804,23.6592,67.2465,45.4458,154.67,"Grey Shale ,clayey in nature , loose , micaceous",Raniganj,Grey Shale
37,2,13.5775,2.23326,20.5016,63.128,44.3127,193.39,"Fine grained Sandstone , Grey , with Shale lamination",Raniganj,Sandstone (SST)
37.7,2,12.9115,2.47306,17.7093,128.874,43.0582,102.812,Shaly Sandstone with Shale lamination,Raniganj,Sandstone (SST)
38,2,12.8664,2.42898,19.0372,116.191,42.4714,140.841,"Grey Shale , clayey in nature , loose ,micaeous",Raniganj,Grey Shale
38.9,2,13.1433,2.26277,37.1139,90.6937,44.3734,113.184,"Fine grained  Sandstone with Feldspar clast , hard and compact+Shale 1m ,slightly recrystallised",Raniganj,Sandstone (SST)
40.9,2,13.1226,2.28146,24.1637,59.418,43.908,229.345,"Medium - Fine grained Sandstone , with Shale lamination",Raniganj,Sandstone (SST)
41,2,13.1164,2.26968,23.2931,59.9364,43.827,231.419,Grey Shale,Raniganj,Grey Shale
41.6,2,12.9486,2.25298,18.2592,102.355,42.9974,152.595,Grey Shale,Raniganj,Grey Shale
42.1,2,12.9353,2.23711,20.8196,116.341,44.0294,151.213,Grey Shale,Raniganj,Grey Shale
42.4,2,13.0418,2.23415,24.4371,60.3554,43.7866,218.973,Shaly Sandstone,Raniganj,Sandstone (SST)
43.7,2,13.1849,2.26351,24.4366,102.995,44.4948,140.15,"Coarse grained Sandstone , with Shale lamination",Raniganj,Sandstone (SST)
43.89,2,13.1986,2.25694,21.3282,96.9024,42.2488,178.179,Shaly Sandstone,Raniganj,Sandstone (SST)
44,2,13.2069,2.25449,18.8541,82.9318,42.2488,192.007,Grey Shale,Raniganj,Grey Shale
44.3,2,13.195,2.27302,19.8124,112.627,44.4513,155.361,Grey Shale,Raniganj,Grey Shale
