Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
3,"Top soil, Clay",Soil,Top Soil
6,"Top soil, Clay",Soil,Top Soil
9,"Top soil, Finegrained Sandstone ",Soil,Top Soil
12,"Top soil ,Fine grained, clayey ",Soil,Top Soil
15,"Fine grained sst, brown",Raniganj,Sandstone (SST)
18,"Fine grained sst, brown",Raniganj,Sandstone (SST)
21,"Fine grained Sandstone  with qtz pebble , clayey in nature",Raniganj,Sandstone (SST)
24,"Very fine grained Sandstone , loose ",Raniganj,Sandstone (SST)
25.5,"Very fine grained Sandstone , ferruginous ",Raniganj,Sandstone (SST)
27,Claystone,Raniganj,Sandstone (SST)
28.5,Claystone,Raniganj,Sandstone (SST)
31,"Very fine grained Sandstone mixed with clay and Shale,Micaceous",Raniganj,Sandstone (SST)
31.2,Medium grained Sandstone ,Raniganj,Sandstone (SST)
31.5,Dark grey Shale ,Raniganj,dgs
31.69,"Grey Shale , highly pulverized",Raniganj,gs
31.77,"Medium grained Sandstone, Whitish",Raniganj,Sandstone (SST)
31.81,Dark grey Shale ,Raniganj,dgs
31.87,Grey Shale ,Raniganj,gs
32.17,Shaly coal with bright band,Raniganj,coal 
32.32,Carbonaceous shale with Shale band,Raniganj,carb shale
32.51,Dark grey Shale ,Raniganj,dgs
32.56,Shaly Sandstone,Raniganj,Sandstone (SST)
32.71,Dark Grey Shale,Raniganj,dgs
32.76,Shaly Sandstone,Raniganj,Sandstone (SST)
32.91,"Dark grey Shale, silty ",Raniganj,dgs
32.99,Carbonaceous shale ,Raniganj,carb shale
34,"Grey Shale , clayey , silty ,micaceous",Raniganj,gs
34.4,"Grey Shale ,clayey in nature , loose , micaceous",Raniganj,gs
37,"Fine grained Sandstone , Grey , with Shale lamination",Raniganj,Sandstone (SST)
37.7,Shaly Sandstone with Shale lamination,Raniganj,Sandstone (SST)
38,"Grey Shale , clayey in nature , loose ,micaeous",Raniganj,gs
38.9,"Fine grained  Sandstone with Feldspar clast , hard and compact+Shale 1m ,slightly recrystallised",Raniganj,Sandstone (SST)
40.9,"Medium - Fine grained Sandstone , with Shale lamination",Raniganj,Sandstone (SST)
41,Grey Shale,Raniganj,gs
41.6,Grey Shale,Raniganj,gs
