DEPT[M],CALP[CM],DENS[G/C,NGAMMA[A,RES[OHM-,SPR[OHM],SP[MV]
0,15.73,3.76204,-99999,-99999,-99999,-99999
0.02,15.7283,3.75899,88.8199,-99999,-99999,-99999
0.04,15.7265,3.75385,78.7519,-99999,-99999,-99999
0.06,15.7265,3.75385,78.7519,-99999,-99999,-99999
0.08,15.7265,3.75385,78.0118,-99999,-99999,-99999
0.1,15.7265,3.75385,77.266,-99999,-99999,-99999
0.12,16.2374,3.75385,76.5259,-99999,-99999,-99999
0.14,16.7521,3.75385,75.7801,-99999,-99999,-99999
0.16,16.7521,3.75385,73.9298,-99999,-99999,-99999
0.18,16.7521,3.75385,72.0654,-99999,-99999,-99999
0.2,16.7521,3.75385,71.3253,-99999,-99999,-99999
0.22,16.7521,3.75385,70.5795,-99999,-99999,-99999
0.24,16.7521,3.75385,70.5795,-99999,-99999,-99999
0.26,16.7521,3.75385,70.5795,-99999,-99999,-99999
0.28,16.7521,3.75385,70.5795,-99999,-99999,-99999
0.3,16.7521,3.75385,66.8533,-99999,-99999,-99999
0.32,16.7521,3.75385,68.6271,-99999,-99999,-144.568
0.34,16.7521,3.75385,69.0198,-99999,-99999,-155.791
0.36,16.7521,3.75385,64.2989,-99999,-99999,-241.166
0.38,16.7521,3.75385,61.6625,-99999,-99999,-308.902
0.4,16.7521,3.75385,60.4925,-99999,-99999,-292.751
0.42,16.7521,3.75385,63.4957,-99999,-99999,-300.122
0.44,16.7521,3.75385,64.948,-99999,-99999,-319.699
0.46,16.7521,3.75385,63.5075,-99999,-99999,-345.943
0.48,16.7521,3.75385,63.0445,-99999,-99999,-368.562
0.5,16.7521,3.75385,66.94,-99999,-99999,-381.184
0.52,16.7521,3.75895,69.549,-99999,-99999,-394.561
0.54,16.7521,3.7641,69.5008,-99999,-99999,-418.442
0.56,16.7521,3.77177,68.1546,-99999,-99999,-445.497
0.58,16.7521,3.77949,67.3488,-99999,-99999,-470.798
0.6,16.7521,3.77949,67.7995,-99999,-99999,-495.001
0.62,16.7521,3.77949,65.659,-99999,-99999,-517.057
0.64,16.7521,3.77949,62.504,-99999,-99999,-534.37
0.66,16.7521,3.77949,60.5045,-99999,-99999,-545.781
0.68,16.7521,3.77949,59.1512,-99999,-99999,-552.142
0.7,16.7521,3.77949,59.4478,-99999,-99999,-554.797
0.72,16.7521,3.77949,58.6553,-99999,-99999,-554.305
0.74,16.7521,3.77949,57.0512,-99999,-99999,-552.303
0.76,16.7521,3.77949,56.6506,-99999,-99999,-553.492
0.78,16.7521,3.77949,58.3924,-99999,-99999,-556.645
0.8,16.7521,3.77949,60.3495,-99999,-99999,-557.899
0.82,16.7521,3.77949,60.3004,-99999,-99999,-550.281
0.84,16.7521,3.77949,58.9052,-99999,-99999,-536.426
0.86,16.7521,3.77949,57.9488,-99999,-99999,-524.574
0.88,16.7521,3.77949,58.6485,-99999,-99999,-511.978
0.9,16.7521,3.77949,56.8087,-99999,-99999,-493.647
0.92,16.7521,3.77949,54.4012,-99999,-99999,-464.921
0.94,16.7521,3.77949,52.3574,-99999,-99999,-437.543
0.96,16.7521,3.77949,50.7991,-99999,-99999,-418.238
0.98,16.7521,3.77182,51.4486,-99999,-99999,-398.942
1,16.7521,3.7641,50.5051,-99999,-99999,-374.26
1.02,16.2413,3.75899,49.1006,-99999,-99999,-349.194
1.04,15.7265,3.75385,49.0996,-99999,-99999,-330.933
1.06,15.7265,3.74874,49.4988,-99999,-99999,-316.577
1.08,15.7265,3.74359,52.041,-99999,-99999,-301.485
1.1,15.7265,3.74359,52.8554,-99999,-99999,-283.738
1.12,15.7265,3.74359,52.197,-99999,-99999,-269.272
1.14,15.7265,3.74359,53.6971,-99999,-99999,-253.891
1.16,15.3859,3.73848,52.8561,-99999,-99999,-237.377
1.18,15.0427,3.73333,53.2923,-99999,-99999,-223.382
1.2,14.7022,3.72567,52.9092,-99999,-99999,-208.082
1.22,14.359,3.71795,51.596,-99999,-99999,-193.379
1.24,14.359,3.71795,52.2516,-99999,-99999,-179.678
1.26,14.359,3.71795,50.8539,-99999,-99999,-171.756
1.28,14.359,3.71284,52.5396,-99999,-99999,-169.604
1.3,14.359,3.70769,54.5024,-99999,-99999,-168.103
1.32,14.359,3.70769,54.9953,-99999,-99999,-167.251
1.34,14.359,3.70769,55.3034,-99999,-99999,-166.851
1.36,14.359,3.70769,55.695,-99999,-99999,-166.65
1.38,14.359,3.70769,58.8424,-99999,-99999,-166.7
1.4,14.359,3.70769,60.9985,-99999,-99999,-167.348
1.42,14.359,3.70769,61.4992,-99999,-99999,-168.946
1.44,14.359,3.70769,61.5008,-99999,-99999,-171.494
1.46,14.359,3.70769,62.9933,-99999,-99999,-174.494
1.48,13.8481,3.70769,64.4009,-99999,-99999,-177.793
1.5,13.3333,3.70769,64.7973,-99999,-99999,-181.791
1.52,13.3333,3.70769,63.7569,-99999,-99999,-186.639
1.54,13.3333,3.70769,63.3449,-99999,-99999,-192.337
1.56,12.9928,3.70769,66.1938,-99999,-99999,-198.537
1.58,12.6496,3.70769,67.3511,-99999,-99999,-205.285
1.6,12.6496,3.70769,68.1455,-99999,-99999,-212.983
1.62,12.6496,3.70769,68.9512,-99999,-99999,-221.432
1.64,12.6496,3.70769,70.2435,1945.74,-99999,-230.381
1.66,12.309,3.70769,70.9535,2299.62,-99999,-239.93
1.68,11.9658,3.70769,69.4025,2653.51,-99999,-249.58
1.7,11.6252,3.70769,69.0491,2831.22,-99999,-258.482
1.72,11.2821,3.70769,69.3,2831.25,-99999,-266.185
1.74,11.2821,3.70769,67.1088,2819.5,-99999,-272.339
1.76,11.2821,3.70769,62.7091,2658.5,-99999,-277.44
1.78,11.2821,3.70769,60.849,2339.35,-99999,-280.846
1.8,11.2821,3.70769,59.7557,1986.36,-99999,-282.099
1.82,11.2821,3.70769,56.856,1491.77,-99999,-282.051
1.84,11.2821,3.70769,52.96,986.224,2402.88,-280.754
1.86,11.2821,3.70769,50.7494,615.984,2839.9,-278.705
1.88,11.2821,3.70769,52.0956,275.432,3276.94,-275.658
1.9,11.2821,3.70769,51.3074,86.0756,3496.36,-271.908
1.92,11.2821,3.70769,49.1513,56.2235,3496.4,-268.507
1.94,11.2821,3.70769,49.0992,48.9602,3451.28,-265.556
1.96,11.2821,3.70769,48.7522,45.8036,3200.18,-263.204
1.98,11.2821,3.70769,47.6523,44.6017,2778.09,-261.254
2,11.2821,3.70769,45.9049,43.9511,2300.58,-259.454
2.02,11.2821,3.70769,45.0986,43.3016,1660.95,-257.754
2.04,11.2821,3.70769,45.5995,42.4021,1055.96,-256.053
2.06,11.2821,3.70769,44.8534,41.3025,611.603,-254.204
2.08,11.2821,3.70769,43.7511,40.0029,221.471,-252.154
2.1,11.2821,3.7128,43.5,38.5033,38.2193,-249.756
2.12,11.2821,3.71795,44.6454,36.9033,26.1571,-247.056
2.14,11.2821,3.71795,46.3974,35.4029,24.4018,-244.306
2.16,11.2821,3.71795,47.0995,34.0029,23.9005,-241.506
2.18,11.2821,3.71795,46.7518,32.8021,23.7004,-238.756
2.2,11.2821,3.71795,46.9475,31.9515,23.5502,-236.056
2.22,11.2821,3.71795,48.8947,31.3511,23.4004,-233.605
2.24,11.2821,3.73072,50.9966,31.0004,23.3,-231.554
2.26,11.2821,3.74359,52.5469,30.8502,23.2502,-229.903
2.28,11.2821,3.7487,53.0011,30.8,23.1502,-228.652
2.3,11.2821,3.75385,52.7001,30.8,23.0502,-227.702
2.32,11.2821,3.75385,55.2398,30.8,22.9502,-227.151
2.34,11.2821,3.75385,57.3016,30.8,22.9,-226.851
2.36,11.2821,3.75385,56.4515,30.8498,22.8502,-226.65
2.38,11.6226,3.75385,55.4527,30.9,22.8,-226.351
2.4,11.9658,3.75385,54.6009,30.9,22.7502,-225.901
2.42,11.9658,3.75385,58.135,30.9,22.6502,-225.202
2.44,11.9658,3.75385,58.3635,30.9,22.6,-224.252
2.46,11.9658,3.75385,55.1492,30.9,22.5502,-223.302
2.48,11.9658,3.75385,56.0976,30.9,22.4502,-222.003
2.5,11.9658,3.75385,57.6461,30.8502,22.4,-220.603
2.52,12.2418,3.75385,60.0441,30.8,22.4,-219.153
2.54,12.52,3.75385,58.9101,30.8498,22.4,-217.752
2.56,12.52,3.74874,60.2845,30.9,22.4,-216.602
2.58,12.52,3.74359,66.142,30.8502,22.4,-215.353
2.6,12.52,3.73848,68.9459,30.6506,22.4,-214.252
2.62,12.52,3.73333,70.1488,30.251,22.4,-213.202
2.64,12.52,3.73333,70.7486,29.8506,22.4,-212.252
2.66,12.52,3.73333,73.4903,29.5008,22.3502,-211.153
2.68,12.52,3.72567,76.049,29.2502,22.3498,-209.504
2.7,12.52,3.71795,76.8474,29.2996,22.4,-207.704
2.72,12.52,3.71795,76.2051,29.5494,22.4,-205.505
2.74,12.52,3.71795,72.7588,29.949,22.4,-203.055
2.76,12.52,3.71795,72.8414,30.449,22.4498,-200.307
2.78,12.525,3.71795,74.7012,30.7996,22.5,-197.256
2.8,12.53,3.71795,73.1546,30.9498,22.5,-194.555
2.82,12.53,3.71795,69.0121,30.751,22.5,-191.657
2.84,12.535,3.71795,65.8511,29.8526,22.5,-188.855
2.86,12.54,3.71795,69.5347,28.1045,22.5,-186.505
2.88,12.54,3.71795,71.2082,25.805,22.5498,-184.454
2.9,12.54,3.71795,66.9088,23.1062,22.6498,-183.052
2.92,12.54,3.71795,63.2068,20.1561,22.7996,-181.803
2.94,12.54,3.71795,62.8453,17.6544,22.9996,-180.901
2.96,12.54,3.71795,64.548,15.7536,23.1498,-180.501
