DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],GAM[API],RES(64N),RES[OHM],SP[MV],LITHOLOGY DESCRIPTION,Formation,Classified
29.21,3,10.24,1.95984,246.295,126.153,141.905,-119.251,CARB SHALE,Raniganj,Carb Shale
29.68,3,10.755,1.87499,268.98,111.552,102.998,-121.101,SHALE,Raniganj,Grey Shale
30.39,3,10.12,2.63,199.51,129.247,132.549,-112.55,SANDSTONE,Raniganj,Sandstone (SST)
32,3,10,2.56997,117.152,200.749,173.149,-122.301,SANDSTONE,Raniganj,Sandstone (SST)
35,3,9.88502,2.56997,90.286,221.745,176.8,-116.2,SANDSTONE,Raniganj,Sandstone (SST)
38,3,9.93,2.55,57.2479,244.005,196.857,-114,SANDSTONE,Raniganj,Sandstone (SST)
39.59,3,10.18,2.44,83.7999,184.249,158.049,-113.4,SANDSTONE,Raniganj,Sandstone (SST)
39.72,3,10.195,2.49,78.9989,179.704,160.05,-113.75,SHALE,Raniganj,Grey Shale
39.87,3,10.225,2.45,126.028,164.453,148.058,-114.05,CARB SHALE,Raniganj,Carb Shale
40.25,3,10.295,1.88508,197.496,147.05,152.887,-116.949,SHALY COAL,Raniganj,coal
40.4,3,10.315,1.29011,197.49,151.549,195.092,-116.6,SHALE,Raniganj,Grey Shale
41,3,10.35,2.70508,283.408,111.603,99.3502,-110.1,SANDY SHALE,Raniganj,ss
42.56,3,10.33,2.62004,215.154,123.499,127.45,-113.45,SANDY SHALE,Raniganj,ss
42.8,3,10.32,2.58,217.998,121.901,128.351,-116.35,CARB SHALE,Raniganj,Carb Shale
43.11,3,10.32,1.81007,240.484,86.1,123.151,-115.3,SANDY SHALE,Raniganj,ss
43.48,3,10.29,2.74507,228.248,120.45,115.548,-117.6,SANDSTONE,Raniganj,Sandstone (SST)
44,3,10.23,2.52,136.303,157.894,157.447,-121.95,SANDSTONE,Raniganj,Sandstone (SST)
47,3,10.03,2.53501,94.0507,198.9,168.251,-113.7,SANDSTONE,Raniganj,Sandstone (SST)
49.13,3,10.18,2.62998,103.861,167.508,166.449,-114.8,SANDSTONE,Raniganj,Sandstone (SST)
50,3,10.28,2.65498,226.498,93.4,119.75,-114.05,SANDY SHALE,Raniganj,ss
53,3,10.315,2.61502,219.753,95.9033,118.995,-121.85,SANDY SHALE,Raniganj,ss
53.17,3,10.32,2.53006,242.148,78.6534,122.505,-122.25,SANDSTONE,Raniganj,Sandstone (SST)
56,3,10.055,2.57505,220.155,97.3502,105.152,-122.25,SANDY SHALE,Raniganj,ss
56.37,3,10.03,2.59495,196.022,114.993,123.246,-122.4,SANDSTONE,Raniganj,Sandstone (SST)
56.77,3,10.02,2.84505,88.5943,164.041,204.158,-123.2,SANDSTONE,Raniganj,Sandstone (SST)
57.35,3,10.02,2.63,104.699,175.001,170.247,-122.35,SANDSTONE,Raniganj,Sandstone (SST)
59,3,10.3905,2.61475,173.983,70.6,91.1916,-123.051,SANDY SHALE,Raniganj,ss
60.03,3,10.15,2.62993,191.835,80.6996,107.1,-120.7,SANDY SHALE,Raniganj,ss
62,3,10.13,2.64499,193.565,86.7502,114.75,-121.85,SANDSTONE,Raniganj,Sandstone (SST)
64.4,3,9.99,2.61,178.378,86.8,111.3,-122.9,SANDY SHALE,Raniganj,ss
65,3,9.95,2.65498,164.821,116.947,130.644,-123.05,SANDSTONE,Raniganj,Sandstone (SST)
66,3,9.99,2.60502,184.895,107,122.799,-122.7,SANDSTONE,Raniganj,Sandstone (SST)
68,3,10.09,2.57,243.952,45.1004,71.5,-120.1,SANDY SHALE,Raniganj,ss
68.28,3,10.09,2.39007,224.674,37.6,73.6498,-119.351,SANDY SHALE,Raniganj,ss
71,3,9.95,2.59498,133.27,71.8992,98,-124.65,SANDSTONE,Raniganj,Sandstone (SST)
74,3,9.96,2.55498,146.564,70.0004,95.3506,-124.8,SANDSTONE,Raniganj,Sandstone (SST)
77,3,10.02,2.48,71.7945,74.6502,99.8494,-126.8,SANDSTONE,Raniganj,Sandstone (SST)
80,3,10.01,2.41502,95.0992,64.8494,95.5966,-127.45,SANDSTONE,Raniganj,Sandstone (SST)
83,3,10.06,2.37003,101.252,58.9502,91.349,-127.15,SANDSTONE,Raniganj,Sandstone (SST)
86,3,10.03,2.38,100.351,55.2502,81.5004,-126.5,SANDSTONE,Raniganj,Sandstone (SST)
89,3,10,2.38,60.9,72.8502,96.951,-128.85,SANDSTONE,Raniganj,Sandstone (SST)
92,3,10.04,2.43498,114.311,56.8,86.4981,-127.25,SANDSTONE,Raniganj,Sandstone (SST)
95,3,9.95,2.57003,127.391,61.1,90.8506,-125.1,SANDSTONE,Raniganj,Sandstone (SST)
98,3,9.99,2.42999,91.4483,72.2502,89.1004,-126.1,SANDSTONE,Raniganj,Sandstone (SST)
101,3,9.83,2.62504,79.1916,112.8,129.807,-127.8,SANDSTONE,Raniganj,Sandstone (SST)
104,3,9.86498,2.71502,68.5525,108.905,136.711,-125.55,SANDSTONE,Raniganj,Sandstone (SST)
107,3,9.91498,2.50498,79.449,95.5966,108.546,-127.25,SANDSTONE,Raniganj,Sandstone (SST)
109.45,3,9.98,2.61502,217.732,59.7004,87.151,-117.5,SANDY SHALE,Raniganj,ss
110,3,9.99,2.56,190.8,56.3996,88.3989,-119.749,SANDSTONE,Raniganj,Sandstone (SST)
112.35,3,9.98,2.6,217.53,63.1489,91.8498,-121.2,SANDY SHALE,Raniganj,ss
112.48,3,9.98,2.62498,226.503,66.5489,92.0996,-121.6,CARB SHALE,Raniganj,Carb Shale
113,3,9.98,2.66003,203.857,72.4992,99.6532,-123.351,SANDY SHALE,Raniganj,ss
114.2,3,9.97,2.55505,253.098,62.9018,92,-123.449,SANDY SHALE,Raniganj,ss
116,3,9.93,2.62502,209.895,53.9996,82.7487,-124.2,SANDSTONE,Raniganj,Sandstone (SST)
118.47,3,9.95,2.57502,121.04,55.1507,89.7986,-122.451,SANDSTONE,Raniganj,Sandstone (SST)
119,3,9.98,2.58,151.786,50.7996,81.151,-124.4,SANDSTONE,Raniganj,Sandstone (SST)
122,3,10.01,2.59501,131.958,51.0498,80.9004,-124.9,SANDSTONE,Raniganj,Sandstone (SST)
125,3,9.95,2.55997,60.3099,69.0983,106.448,-126.1,SANDSTONE,Raniganj,Sandstone (SST)
127.2,3,9.86,2.43498,92.9505,47.8,73.1,-126.75,SANDSTONE,Raniganj,Sandstone (SST)
127.4,3,9.86,2.38,73.7468,47.5,73.6493,-127.05,SHALE ,Raniganj,Shale
127.79,3,9.86,2.45506,94.2501,49.5493,73.5502,-126.95,SHALY COAL,Raniganj,coal
128,3,9.86,2.47,96.4663,52.1494,74.2494,-124.5,SHALE,Raniganj,dgs
128.14,3,9.86,2.47,97.0458,55.6484,77.1493,-124.549,SHALE,Raniganj,dgs
128.75,3,9.87,2.17517,211.672,57.6498,104.547,-126.8,SANDSTONE,Raniganj,Sandstone (SST)
128.93,3,9.87,2.29498,270.942,58.449,111.846,-126.7,SANDSTONE,Raniganj,Sandstone (SST)
129.26,3,9.87,2.46992,288.384,56.4521,95.4516,-126.3,SANDSTONE,Raniganj,Sandstone (SST)
131,3,9.89,2.55494,274.199,58.1507,84.1484,-125.6,SANDY SHALE,Raniganj,ss
131.49,3,9.89,2.5,261.382,55.2502,83.1,-125.1,SANDSTONE,Raniganj,Sandstone (SST)
131.82,3,9.89,2.57498,266.337,58.2493,84.1995,-124.9,CARB SHALE,Raniganj,Carb Shale
133.46,3,9.88,3.04,177.244,90.8023,108.201,-123.1,SANDSTONE,Raniganj,Sandstone (SST)
133.57,3,9.88,2.8651,194.912,84.8019,104.302,-124.2,SHALE,Raniganj,Shale
133.73,3,9.88,2.57,195.351,81.7507,96.2516,-124.85,CARB SHALE,Raniganj,Carb Shale
134,3,9.88,2.61498,139.156,80.0493,99.2018,-125.35,SANDY SHALE,Raniganj,ss
134.91,3,9.9,2.63996,201.442,73.3558,106.749,-125.6,SANDSTONE,Raniganj,Sandstone (SST)
